address,categories,coordinates,name,phone,price,query_offset,rating,restaurant_id,transactions,url,zip_code
,"[{'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.921699931935, 'longitude': -93.2123801484704}",,,,1,5.0,6qn4Nt4frApZ2vn2rQerKg,[],https://www.yelp.com/biz/okome-house-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55406.0
,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.9819673599659, 'longitude': -93.2367731630802}",,(612) 331-4993,$,1,4.5,vi58lz0GLWITkg_r0WieNg,"['delivery', 'pickup']",https://www.yelp.com/biz/kbop-korean-bistro-minneapolis-6?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55414.0
,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'persian', 'title': 'Persian/Iranian'}]","{'latitude': 45.012975, 'longitude': -93.263755}",,,$$,1,4.5,07VKEPjS7Juf2IB4jVa-wA,['delivery'],https://www.yelp.com/biz/olive-and-lamb-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55418.0
,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.9835380660176, 'longitude': -93.2696064205751}",,(612) 238-0050,$$,1,4.5,MDPv2B2jwA1qLvQCXlEVww,['delivery'],https://www.yelp.com/biz/red-cow-minneapolis-minneapolis-3?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55401.0
,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.97916, 'longitude': -93.23471}",,(612) 605-8960,,1,5.0,VaEY4xoDh1Y5bvmvBb5Bug,"['delivery', 'pickup']",https://www.yelp.com/biz/korean-bowl-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55414.0
,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]","{'latitude': 44.934536, 'longitude': -93.278038}",,(929) 444-2705,,1,5.0,Qfi2-C45fk48c0JG4gVXbA,['delivery'],https://www.yelp.com/biz/young-man-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55409.0
,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.90485, 'longitude': -93.309061}",,(612) 886-1606,$$,1,4.5,bGT4lTagoIC6hd5PnCyltA,['delivery'],https://www.yelp.com/biz/colita-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55419.0
,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.98954, 'longitude': -93.278594}",,(612) 333-3837,$$$,1,4.5,zv_XJAQr9D3PNR5eHYhC5w,['delivery'],https://www.yelp.com/biz/bar-la-grassa-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55401.0
,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.949194, 'longitude': -93.296643}",,(612) 759-1787,,1,4.0,Q5QKCZfPmWEFAmYCaBC4Uw,[],https://www.yelp.com/biz/chx-minneapolis-2?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55408.0
,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.96961, 'longitude': -93.27993}",,(612) 870-1218,$$,1,4.5,rJY7EbVlXPXWgwojyEJq8w,['delivery'],https://www.yelp.com/biz/lotus-restaurant-minneapolis-3?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55403.0
,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.982527, 'longitude': -93.271807}",,(612) 343-7696,$$$,1,4.5,6vaAze9Fxuco249L3BhEdQ,['delivery'],https://www.yelp.com/biz/112-eatery-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55401.0
,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.989479, 'longitude': -93.251249}",,(612) 379-3030,$$,1,4.5,Dx52kVp9UBzI4LuL-J4TWA,"['delivery', 'pickup']",https://www.yelp.com/biz/brasa-rotisserie-minneapolis?adjust_creative=5q2gXrFINpdsi56KQ3uWdQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5q2gXrFINpdsi56KQ3uWdQ,55414.0
