name,categories,coordinates
Okome House,"[{'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.921699931935, 'longitude': -93.2123801484704}"
Kbop Korean Bistro,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.9819673599659, 'longitude': -93.2367731630802}"
Olive & Lamb,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'persian', 'title': 'Persian/Iranian'}]","{'latitude': 45.012975, 'longitude': -93.263755}"
Red Cow - Minneapolis,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.9835380660176, 'longitude': -93.2696064205751}"
Korean Bowl,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.97916, 'longitude': -93.23471}"
Young Man,"[{'alias': 'indonesian', 'title': 'Indonesian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]","{'latitude': 44.934536, 'longitude': -93.278038}"
Colita,"[{'alias': 'newmexican', 'title': 'New Mexican Cuisine'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.90485, 'longitude': -93.309061}"
Bar La Grassa,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.98954, 'longitude': -93.278594}"
CHX,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.949194, 'longitude': -93.296643}"
Lotus Restaurant,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.96961, 'longitude': -93.27993}"
112 Eatery,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.982527, 'longitude': -93.271807}"
Brasa Rotisserie,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.989479, 'longitude': -93.251249}"
Surly Brewing,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9732287, 'longitude': -93.2097663}"
George & The Dragon,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]","{'latitude': 44.912151, 'longitude': -93.290436}"
Revival,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.925208, 'longitude': -93.27771}"
HAI HAI,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'panasian', 'title': 'Pan Asian'}]","{'latitude': 45.0098625272589, 'longitude': -93.2628971288361}"
Young Joni,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 45.00123, 'longitude': -93.26664}"
Chimborazo,"[{'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 45.0202859237582, 'longitude': -93.2470212131738}"
Matt's Bar,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'divebars', 'title': 'Dive Bars'}]","{'latitude': 44.9394683837891, 'longitude': -93.247428894043}"
Umami Fries,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.98081, 'longitude': -93.23581}"
Smoke In The Pit,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.9349588, 'longitude': -93.2623312}"
Soul Bowl,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.9847838, 'longitude': -93.2771236}"
Boludo,"[{'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9344688380649, 'longitude': -93.2778564810365}"
The Lynhall,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 44.9133251, 'longitude': -93.3313699}"
Korea Restaurant,"[{'alias': 'korean', 'title': 'Korean'}]","{'latitude': 44.97427, 'longitude': -93.22675}"
Smack Shack,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.9866669959331, 'longitude': -93.2762138294999}"
Rosalia,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.924217, 'longitude': -93.31532}"
FireBox Deli,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 45.04057, 'longitude': -93.28731}"
Wendy's House of SOUL,"[{'alias': 'soulfood', 'title': 'Soul Food'}]","{'latitude': 44.9806741630187, 'longitude': -93.3043517544866}"
Orale Mexican Eats,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.903733, 'longitude': -93.277606}"
The Anchor Fish & Chips,"[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]","{'latitude': 45.000844, 'longitude': -93.26438}"
Apoy MPLS,"[{'alias': 'filipino', 'title': 'Filipino'}]","{'latitude': 44.925053101371, 'longitude': -93.2777758187917}"
ie Italian Eatery,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9170773114326, 'longitude': -93.2478122137292}"
Broders' Pasta Bar,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.91208, 'longitude': -93.30902}"
Alma,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'guesthouses', 'title': 'Guest Houses'}]","{'latitude': 44.98373, 'longitude': -93.24814}"
Ono Hawaiian Plates,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}]","{'latitude': 44.988015, 'longitude': -93.2779855}"
Parlour,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.9887299, 'longitude': -93.27772}"
Rincón 38,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}]","{'latitude': 44.933952331543, 'longitude': -93.284065246582}"
Hola Arepa,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.939423, 'longitude': -93.277406}"
Northeast Social,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 45.00122, 'longitude': -93.2617999}"
P.S. Steak,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 44.96739, 'longitude': -93.28712}"
Pimento Jamaican Kitchen,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 44.95643, 'longitude': -93.27839}"
Animales Barbeque,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]","{'latitude': 44.9990792077941, 'longitude': -93.2511584512688}"
Crafty Crab,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 45.05821583, 'longitude': -93.248294}"
Billy Sushi,"[{'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.98433, 'longitude': -93.26888}"
Lake & Irving,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.948141, 'longitude': -93.301562}"
PinKU Japanese Street Food,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 44.9882191402789, 'longitude': -93.2566113262305}"
Sea Salt Eatery,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9160995287565, 'longitude': -93.2109407023374}"
Zettas,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.95822, 'longitude': -93.27837}"
Gyu-Kaku Japanese BBQ,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.947378, 'longitude': -93.287683}"
Afro Deli,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'somali', 'title': 'Somali'}]","{'latitude': 44.9734453, 'longitude': -93.2275231}"
The Naughty Greek,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9468, 'longitude': -93.16731}"
My Huong Kitchen,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 44.953101, 'longitude': -93.278291}"
Terzo,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.9122552457443, 'longitude': -93.3083754786309}"
Fogo de Chão Brazilian Steakhouse,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 44.9780575369039, 'longitude': -93.2742076579676}"
Ariana Kabob & Gyro Bistro,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9592971708184, 'longitude': -93.3704155103979}"
Caspian Bistro & Marketplace,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'persian', 'title': 'Persian/Iranian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 44.973218, 'longitude': -93.222054}"
The Kenwood,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.961649, 'longitude': -93.307969}"
Harry Singh's Original Caribbean Restaurant,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","{'latitude': 44.95393, 'longitude': -93.277727}"
Bep Eatery,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.9783297898153, 'longitude': -93.2687015196045}"
Momo Sushi,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]","{'latitude': 45.00734, 'longitude': -93.24697}"
Tbsp. Liège Waffles,"[{'alias': 'waffles', 'title': 'Waffles'}]","{'latitude': 44.9244384765625, 'longitude': -93.3158264160156}"
Dipped & Debris,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 45.01289, 'longitude': -93.24774}"
Q fanatic BBQ,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.89396, 'longitude': -93.27773}"
Burch Steak and Pizza Bar,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 44.9630224, 'longitude': -93.2916601}"
Sweet Cajun Boiling Seafood,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.95399, 'longitude': -93.16193}"
Pho 79,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.956333, 'longitude': -93.277473}"
La Mesa,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]","{'latitude': 44.97485, 'longitude': -93.30674}"
Pagoda,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 44.9803675, 'longitude': -93.2347689}"
Brit's Pub,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]","{'latitude': 44.9729362, 'longitude': -93.2757548}"
Hell's Kitchen,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.97460605855, 'longitude': -93.2726155438114}"
Dilla's,"[{'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 44.969706, 'longitude': -93.246499}"
Gorkha Palace,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.989277, 'longitude': -93.255079}"
The Freehouse,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","{'latitude': 44.98731962, 'longitude': -93.27724911}"
Tacos el Kevin,"[{'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 44.93436, 'longitude': -93.26713}"
Peninsula Malaysian Cuisine,"[{'alias': 'malaysian', 'title': 'Malaysian'}]","{'latitude': 44.95511, 'longitude': -93.2783199}"
Brasa,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]","{'latitude': 44.919737, 'longitude': -93.290396}"
Himalayan Restaurant,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.94862, 'longitude': -93.22953}"
El Taco Riendo,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 45.0126599, 'longitude': -93.24786}"
Orient Express,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'cantonese', 'title': 'Cantonese'}]","{'latitude': 44.9770869699178, 'longitude': -93.2694872900976}"
Med Box Grill,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'turkish', 'title': 'Turkish'}]","{'latitude': 44.9479790610055, 'longitude': -93.2935776561499}"
