,BusinessName,X,Y,FullAddress,City,ZipCode,Neighborhood,Latitude,Longitude
4933,CARIBOU COFFEE #1270,-93.27186237117951,44.9736976442965,900 2ND AVE S,Minneapolis,55402.0,Downtown West,44.9737,-93.27186
27178,TOP DOGS,-93.2757865231577,44.9777197179516,722 HENNEPIN AVE,Minneapolis,55403.0,Downtown West,44.97772,-93.27579
34064,BRASS RAIL,-93.27245923521049,44.9800331701422,422 HENNEPIN AVE,Minneapolis,55401.0,Downtown West,44.98003,-93.27246
21868,JAMBO! KITCHEN,-93.24444122885981,44.9686144242693,1939 5TH ST S,Minneapolis,55454.0,Cedar Riverside,44.96861,-93.24444
3816,SELAM COFFEE SHOP,-93.223214807654,44.932531076288,3860 MINNEHAHA AVE,Minneapolis,55406.0,Howe,44.93253,-93.22321
5902,GROUND ZERO/THE FRONT,-93.2550404257443,44.9890668209379,15 4TH ST NE,Minneapolis,55414.0,Nicollet Island - East Bank,44.98907,-93.25504000000001
4914,CARIBOU COFFEE #1253,-93.2549923712665,44.9875752529701,25 UNIVERSITY AVE SE,Minneapolis,55414.0,Nicollet Island - East Bank,44.98758,-93.25499
18274,BUZZ MART,-93.2725846894315,44.979938344783896,6 5TH ST N,Minneapolis,55401.0,Downtown West,44.97994,-93.27258
23080,ROOTS FOR THE HOME TEAM,-93.2785473936738,44.9813412218911,353 5TH ST N,Minneapolis,55403.0,North Loop,44.98134,-93.27855
4679,AUGIES CABARET,-93.2725846894315,44.979938344783896,424 HENNEPIN AVE,Minneapolis,55401.0,Downtown West,44.97994,-93.27258
33336,19 BAR,-93.2788330031369,44.9674539867503,19 15TH ST W,Minneapolis,55403.0,Loring Park,44.96745,-93.27883
42941,SUPERAMERICA #4024,-93.2952863877773,44.9570025118586,2501 HENNEPIN AVE,Minneapolis,55405.0,Lowry Hill East,44.957,-93.29529000000001
23584,APOTHICARE,-93.2628930928179,44.9350449950671,3722 CHICAGO AVE,Minneapolis,55407.0,Central,44.93505,-93.26289
13108,STARBUCKS COFFEE,-93.2696995495723,44.97883034220779,465 NICOLLET MALL,Minneapolis,55401.0,Downtown West,44.97883,-93.2697
57666,DON CHILO RESTAURANT,-93.26941896618321,44.947791727184,417 LAKE ST E,Minneapolis,55408.0,Central,44.947790000000005,-93.26942
2991,MIDTOWN BIKE CENTER,-93.260809985014,44.9504759328986,2834 10TH AVE S,Minneapolis,55407.0,Midtown Phillips,44.95048,-93.26080999999999
